Variation ID	Location	Distance from rs3849943	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs774357	9:27559837-27559837	16453	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs812858	9:27545469-27545469	2085	intergenic_variant	0.971526	0.999999		No trait reported	Ensembl
rs2477520	9:27509872-27509872	-33512	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs11410615	9:27527366-27527373	-16018	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs55637136	9:27523465-27523476	-19919	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2492812	9:27499629-27499629	-43755	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs895022	9:27484373-27484373	-59011	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2477521	9:27509947-27509947	-33437	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2492818	9:27505641-27505641	-37743	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs34620383	9:27552360-27552365	8976	intron_variant	0.915806	0.970706		No trait reported	Ensembl
rs2814707	9:27536399-27536399	-6985	intergenic_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Autism spectrum disorder	Other trait	GWAS
rs17779457	9:27488094-27488094	-55290	intron_variant	0.944973	1.000000	Urinary symptoms in response to radiotherapy in prostate cancer	Cancer	GWAS
rs12554036	9:27509213-27509213	-34171	intron_variant	1.000000	1.000000	Frontotemporal dementia MTAG	Neurological disorder	GWAS
rs2453555	9:27563870-27563870	20486	intron_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis	Other trait	GWAS
rs7019351	9:27491264-27491264	-52120	intron_variant	0.894262	1.000000	Amyotrophic lateral sclerosis	Other trait	GWAS
rs774359	9:27561051-27561051	17667	3_prime_UTR_variant	0.870369	0.999999	Amyotrophic lateral sclerosis	Other trait	GWAS
rs3849942	9:27543283-27543283	-101	intergenic_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis (sporadic)	Other trait	GWAS
