Variation ID	Location	Distance from rs73440933	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs10812605	9:27510362-27510362	-37626	intron_variant	0.052082	0.999988		No trait reported	Ensembl
rs78213890	9:27517731-27517731	-30257	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs60679461	9:27543142-27543142	-4846	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs1867495	9:27503361-27503361	-44627	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs12683787	9:27465437-27465437	-82551	intron_variant	0.090380	0.746541		No trait reported	Ensembl
rs147777496	9:27511364-27511364	-36624	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs10435784	9:27490334-27490334	-57654	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs71746336	9:27560802-27560807	12814	3_prime_UTR_variant	0.195580	1.000000		No trait reported	Ensembl
rs372957714	9:27722383-27722383	174395	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs3849938	9:27517637-27517637	-30351	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs4879517	9:27482629-27482629	-65359	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs28530542	9:27417081-27417081	-130907	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs114151041	9:27508248-27508248	-39740	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs17696517	9:27536984-27536984	-11004	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs80322424	9:27513475-27513475	-34513	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs7852987	9:27520694-27520694	-27294	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs7851046	9:27583552-27583552	35564	intergenic_variant	0.614407	1.000000		No trait reported	Ensembl
rs10115753	9:27409938-27409938	-138050	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs78799312	9:27394306-27394306	-153682	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs141168308	9:27577671-27577671	29683	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs112086913	9:27522098-27522098	-25890	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs10120274	9:27298113-27298113	-249875	intergenic_variant	0.052830	0.679073		No trait reported	Ensembl
rs78313606	9:27489049-27489049	-58939	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs7861220	9:27543778-27543778	-4210	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs1838429	9:27502142-27502142	-45846	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs7019847	9:27491399-27491399	-56589	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs61050438	9:27522937-27522937	-25051	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs142855097	9:27570167-27570167	22179	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs79640237	9:27517369-27517369	-30619	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs1319236	9:27507211-27507211	-40777	intron_variant	0.061943	0.999951		No trait reported	Ensembl
rs73643412	9:27538808-27538808	-9180	TF_binding_site_variant	0.195580	1.000000		No trait reported	Ensembl
rs138483345	9:27719841-27719841	171853	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs112990060	9:27690351-27690351	142363	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs187390637	9:27610033-27610033	62045	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs59342431	9:27522882-27522882	-25106	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs151019753	9:27523746-27523746	-24242	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs57078759	9:27511226-27511225	-36762	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs148078556	9:27734460-27734460	186472	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs531837857	9:27550209-27550209	2221	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs141182550	9:27580938-27580938	32950	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs5897235	9:27506536-27506549	-41452	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs112001877	9:27589698-27589698	41710	intergenic_variant	0.277804	0.579016		No trait reported	Ensembl
rs148239375	9:27578648-27578648	30660	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs10757663	9:27467672-27467672	-80316	intron_variant	0.085977	0.743897		No trait reported	Ensembl
rs184760622	9:27333246-27333246	-214742	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs571677913	9:27303914-27303914	-244074	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs113082741	9:27581727-27581727	33739	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs10967873	9:27303053-27303053	-244935	intergenic_variant	0.072174	0.710116		No trait reported	Ensembl
rs189330541	9:27481619-27481619	-66369	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs577316222	9:27320418-27320427	-227570	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs544497929	9:27734802-27734802	186814	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs28570465	9:27407777-27407777	-140211	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs149101200	9:27578351-27578351	30363	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs17696653	9:27571821-27571821	23833	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs73643407	9:27530294-27530294	-17694	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643409	9:27536943-27536943	-11045	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643416	9:27560895-27560895	12907	3_prime_UTR_variant	0.195580	1.000000		No trait reported	Ensembl
rs60368993	9:27537753-27537753	-10235	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs76452808	9:27521290-27521290	-26698	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs79183829	9:27662186-27662186	114198	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs7030008	9:27537273-27537273	-10715	intergenic_variant	0.086001	0.999999		No trait reported	Ensembl
rs17696423	9:27504094-27504094	-43894	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs75741240	9:27521398-27521398	-26590	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs77936840	9:27508007-27508007	-39981	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs2253284	9:27492617-27492617	-55371	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs111943528	9:27522325-27522325	-25663	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs16911538	9:27471989-27471989	-75999	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs700828	9:27557539-27557539	9551	intron_variant	0.070620	0.999986		No trait reported	Ensembl
rs56081123	9:27559854-27559854	11866	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs368860790	9:27506704-27506704	-41284	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs183100834	9:27528780-27528780	-19208	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2253291	9:27492791-27492791	-55197	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs190134938	9:27649048-27649048	101060	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs28649299	9:27417058-27417058	-130930	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs112075447	9:27685749-27685749	137761	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs76323345	9:27502806-27502806	-45182	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs145147308	9:27497011-27497011	-50977	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2453561	9:27497264-27497264	-50724	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs61128370	9:27523530-27523530	-24458	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs78105253	9:27508096-27508096	-39892	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs146101540	9:27540972-27540972	-7016	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs12001613	9:27581195-27581195	33207	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs1888170	9:27629306-27629306	81318	intergenic_variant	0.074894	0.349137		No trait reported	Ensembl
rs192269914	9:27613560-27613560	65572	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs75155417	9:27501736-27501736	-46252	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs142440917	9:27494217-27494217	-53771	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2814708	9:27513718-27513718	-34270	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs187325582	9:27375720-27375720	-172268	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs78961421	9:27666013-27666013	118025	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs12001591	9:27581016-27581016	33028	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs34366576	9:27562080-27562080	14092	intron_variant	0.132413	0.999992		No trait reported	Ensembl
rs112135808	9:27660562-27660562	112574	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs11792681	9:27349254-27349254	-198734	intron_variant	0.063187	0.341124		No trait reported	Ensembl
rs3202600	9:27529702-27529702	-18286	5_prime_UTR_variant	0.132413	0.999992		No trait reported	Ensembl
rs539323219	9:27522268-27522268	-25720	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs1845699	9:27511595-27511595	-36393	intron_variant	0.058889	0.999986		No trait reported	Ensembl
rs116692885	9:27416469-27416469	-131519	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs113643467	9:27689111-27689111	141123	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs10967944	9:27454858-27454858	-93130	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs28526385	9:27559939-27559939	11951	intron_variant	0.100281	0.999994		No trait reported	Ensembl
rs17769134	9:27507839-27507839	-40149	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs77740188	9:27656578-27656578	108590	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs185330586	9:27355870-27355870	-192118	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2453560	9:27495572-27495572	-52416	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs145504378	9:27784677-27784677	236689	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs59939078	9:27504978-27504978	-43010	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs144060127	9:27524367-27524373	-23621	frameshift_variant	0.706215	1.000000		No trait reported	Ensembl
rs4520261	9:27571957-27571957	23969	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs1838430	9:27502079-27502079	-45909	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs116281455	9:27576914-27576914	28926	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs144761353	9:27485193-27485193	-62795	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs369727591	9:27481624-27481624	-66364	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs58668566	9:27524329-27524329	-23659	5_prime_UTR_variant	0.614407	1.000000		No trait reported	Ensembl
rs56168642	9:27541001-27541001	-6987	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs2096151	9:27740176-27740176	192188	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs17769246	9:27556466-27556466	8478	3_prime_UTR_variant	1.000000	1.000000		No trait reported	Ensembl
rs77227196	9:27714735-27714735	166747	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs182119101	9:27784824-27784824	236836	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs149927276	9:27742933-27742933	194945	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs78900326	9:27570591-27570591	22603	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2477524	9:27497942-27497942	-50046	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs60209390	9:27512405-27512405	-35583	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs112604676	9:27517502-27517502	-30486	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs143104430	9:27688636-27688636	140648	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs56097372	9:27537265-27537265	-10723	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs1925240	9:27501722-27501722	-46266	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs530915245	9:27602252-27602252	54264	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs17835861	9:27557343-27557343	9355	intron_variant	0.132413	0.999992		No trait reported	Ensembl
rs59797827	9:27544000-27544000	-3988	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs556326066	9:27465930-27465930	-82058	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs79390273	9:27502174-27502174	-45814	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs28802945	9:27405785-27405785	-142203	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs77671777	9:27511943-27511943	-36045	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs78091606	9:27627350-27627350	79362	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs73440924	9:27538895-27538895	-9093	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs34007035	9:27562677-27562689	14689	intron_variant	0.078860	0.999994		No trait reported	Ensembl
rs12552011	9:27398072-27398072	-149916	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs17769116	9:27504638-27504638	-43350	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs7853338	9:27511981-27511981	-36007	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs112903803	9:27687906-27687906	139918	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs2773421	9:27739754-27739754	191766	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs139395435	9:27491485-27491485	-56503	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs544500393	9:27530320-27530320	-17668	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs10122400	9:27385138-27385138	-162850	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs80270322	9:27511955-27511955	-36033	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs55763706	9:27518873-27518873	-29115	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs114832361	9:27745372-27745372	197384	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs12001592	9:27581017-27581017	33029	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs774361	9:27596695-27596695	48707	intergenic_variant	0.065221	0.999942		No trait reported	Ensembl
rs137933530	9:27697444-27697444	149456	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs142762829	9:27737919-27737919	189931	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs529824140	9:27303528-27303528	-244460	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs113156372	9:27494533-27494533	-53455	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs774356	9:27559723-27559723	11735	intron_variant	0.070620	0.999986		No trait reported	Ensembl
rs17696478	9:27516332-27516332	-31656	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs10738775	9:27514320-27514320	-33668	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs146702422	9:27728848-27728848	180860	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs112966702	9:27491670-27491670	-56318	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs112616482	9:27557603-27557603	9615	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs117354997	9:27582191-27582191	34203	intergenic_variant	0.138404	0.372027		No trait reported	Ensembl
rs12005976	9:27740350-27740350	192362	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs145023522	9:27678850-27678850	130862	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs76602706	9:27569659-27569659	21671	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2440621	9:27497184-27497184	-50804	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs7864595	9:27495574-27495574	-52414	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs186242974	9:27705485-27705485	157497	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs77984057	9:27522069-27522069	-25919	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs113286538	9:27494458-27494458	-53530	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs115330325	9:27415231-27415231	-132757	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs75493207	9:27400145-27400145	-147843	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs73643418	9:27571899-27571899	23911	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs73428039	9:27669823-27669823	121835	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs34933275	9:27524626-27524626	-23362	missense_variant	0.195580	1.000000		No trait reported	Ensembl
rs4609281	9:27514964-27514964	-33024	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs2492813	9:27497794-27497794	-50194	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs10812604	9:27496663-27496663	-51325	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs115993942	9:27511304-27511304	-36684	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs80188293	9:27400035-27400035	-147953	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs1975503	9:27499409-27499409	-48579	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs17769199	9:27533248-27533248	-14740	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs56087834	9:27524280-27524280	-23708	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs76676405	9:27521486-27521486	-26502	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs7027614	9:27466828-27466828	-81160	intron_variant	0.090380	0.746541		No trait reported	Ensembl
rs72024300	9:27482308-27482325	-65680	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs73643414	9:27539656-27539656	-8332	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs12002175	9:27582130-27582130	34142	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs137866639	9:27726345-27726345	178357	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs78074330	9:27573579-27573579	25591	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2253280	9:27492505-27492505	-55483	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs115773090	9:27554453-27554453	6465	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs72721196	9:27382768-27382768	-165220	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs58287778	9:27510578-27510578	-37410	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs75402918	9:27518774-27518774	-29214	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs9969837	9:27560478-27560478	12490	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs774351	9:27516642-27516642	-31346	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs4446820	9:27346169-27346169	-201819	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs17769300	9:27568133-27568133	20145	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs191213116	9:27593002-27593002	45014	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs188460764	9:27556054-27556054	8066	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs17769187	9:27533172-27533172	-14816	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs7041409	9:27487223-27487223	-60765	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs73643405	9:27524987-27524987	-23001	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs113973626	9:27504349-27504349	-43639	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs145604802	9:27517475-27517475	-30513	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs146733202	9:27584821-27584828	36833	intergenic_variant	0.393333	1.000000		No trait reported	Ensembl
rs77111722	9:27654830-27654830	106842	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs2492824	9:27501193-27501193	-46795	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs2492814	9:27496411-27496411	-51577	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs41272891	9:27567483-27567483	19495	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs56045229	9:27312302-27312302	-235686	intergenic_variant	0.058567	0.690138		No trait reported	Ensembl
rs183092595	9:27494701-27494701	-53287	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs111636439	9:27494396-27494396	-53592	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs57971925	9:27518636-27518636	-29352	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs7862893	9:27382246-27382246	-165742	intron_variant	0.063549	0.999920		No trait reported	Ensembl
rs73643411	9:27538324-27538324	-9664	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs3904636	9:27513206-27513206	-34782	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs7868845	9:27584532-27584532	36544	intergenic_variant	0.066954	0.999958		No trait reported	Ensembl
rs111787602	9:27581489-27581489	33501	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs77120895	9:27523808-27523808	-24180	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs112923655	9:27656301-27656301	108313	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs12003690	9:27560676-27560676	12688	3_prime_UTR_variant	0.195580	1.000000		No trait reported	Ensembl
rs4879566	9:27558188-27558188	10200	intron_variant	0.100281	0.999994		No trait reported	Ensembl
rs113076260	9:27552974-27552974	4986	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs775393	9:27736154-27736154	188166	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs115555870	9:27559868-27559868	11880	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs60613335	9:27555628-27555628	7640	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs151061634	9:27312300-27312300	-235688	intergenic_variant	0.058567	0.690138		No trait reported	Ensembl
rs56793333	9:27514802-27514803	-33186	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs188404720	9:27495058-27495058	-52930	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs187933315	9:27406343-27406343	-141645	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs143688465	9:27534439-27534439	-13549	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs111630075	9:27569398-27569398	21410	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs74704571	9:27565085-27565085	17097	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs79443004	9:27579670-27579670	31682	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs111891848	9:27318411-27318411	-229577	intergenic_variant	0.110140	0.364581		No trait reported	Ensembl
rs146929583	9:27643878-27643878	95890	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs7852840	9:27511594-27511594	-36394	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs10125579	9:27459152-27459152	-88836	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs78380846	9:27584548-27584548	36560	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs10967925	9:27402599-27402599	-145389	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs116055472	9:27485108-27485108	-62880	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs7852782	9:27520685-27520685	-27303	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs76324761	9:27489420-27489420	-58568	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs17696492	9:27518591-27518591	-29397	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs551693540	9:27522267-27522267	-25721	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs182999187	9:27440125-27440125	-107863	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs10120735	9:27550170-27550170	2182	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs188473898	9:27538240-27538240	-9748	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs141118844	9:27492187-27492187	-55801	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs7022101	9:27407220-27407220	-140768	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs187853525	9:27348029-27348029	-199959	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs60376227	9:27519026-27519026	-28962	intron_variant	0.614407	1.000000		No trait reported	Ensembl
